note_count_q1,pitch_mean_q1,pitch_std_q1,pitch_range_q1,note_density_q1,interval_mean_q1,stepwise_ratio_q1,unique_pitches_q1,note_count_q2,pitch_mean_q2,pitch_std_q2,pitch_range_q2,note_density_q2,interval_mean_q2,stepwise_ratio_q2,unique_pitches_q2,note_count_q3,pitch_mean_q3,pitch_std_q3,pitch_range_q3,note_density_q3,interval_mean_q3,stepwise_ratio_q3,unique_pitches_q3,note_count_q4,pitch_mean_q4,pitch_std_q4,pitch_range_q4,note_density_q4,interval_mean_q4,stepwise_ratio_q4,unique_pitches_q4,note_count_slope,pitch_mean_slope,pitch_std_slope,pitch_range_slope,note_density_slope,interval_mean_slope,stepwise_ratio_slope,unique_pitches_slope,piece_id,composer,popularity
845,63.04615384615385,10.857615329845112,53,7.3478260869565215,10.559241706161137,0.18838862559241706,44,822,63.90875912408759,11.261877046742462,55,7.163398692810458,11.183922046285018,0.11814859926918392,47,536,66.64365671641791,11.069736412415851,46,4.620689655172414,12.70467289719626,0.06728971962616823,26,848,63.326650943396224,11.029362488241441,55,7.278969957081545,10.75206611570248,0.16765053128689492,47,-27.70000000000005,0.35763888840573504,0.03231008408623707,-0.3000000000000088,-0.2749277427262986,0.20992240795352657,-0.011307316255958221,-1.2000000000000086,mozart-symphonies-symphony_n25_k183_3mov,mozart,60
1839,66.43284393692224,11.651348357891393,58,3.380514705882353,9.752992383025028,0.24646354733405876,56,1926,65.90031152647975,10.99322126193949,53,3.5355667737494265,9.167272727272728,0.24363636363636362,53,2144,67.65951492537313,10.996892494737866,60,3.9357503441945845,8.328511432571162,0.2809146056929538,56,1837,66.95100707675557,12.319587340757304,60,3.3706422018348623,8.76525054466231,0.32625272331154687,57,21.199999999999694,0.33136928183933134,0.20083881813960988,1.2999999999999907,0.03705660583026782,-0.3801986809789739,0.027664576998905423,0.5999999999999966,mozart-piano_sonatas-piano_sonata_n15_k593494,mozart,66
375,64.4,10.354000837035573,41,3.836317135549872,10.577540106951872,0.3342245989304813,32,387,66.6046511627907,9.675151532562898,43,3.9692307692307693,10.94041450777202,0.34974093264248707,37,398,64.89949748743719,10.86948380280503,44,4.113695090439276,11.962216624685139,0.28463476070528965,37,440,65.91818181818182,11.431918488625543,41,4.512820512820513,11.840546697038725,0.3895216400911162,24,20.59999999999996,0.284939177919186,0.4428085225012046,0.09999999999999533,0.21739744530204202,0.4810821887173661,0.010078495154470677,-2.400000000000005,mozart-k393_solfeggi_n3,mozart,66
145,64.84827586206896,8.808562475762852,40,5.704918032786885,7.791666666666667,0.5763888888888888,22,61,65.34426229508196,12.21781183744191,37,2.4158415841584158,11.4,0.45,22,118,68.03389830508475,6.789738273318538,33,4.767676767676767,6.811965811965812,0.5213675213675214,23,110,64.98181818181818,9.405976647547819,40,4.444444444444445,9.082568807339449,0.44036697247706424,22,-4.800000000000019,0.30902629692503525,-0.3635831048768486,-0.4000000000000079,-0.14295855815089767,-0.07153277660158573,-0.033669822786795284,0.09999999999999533,mozart-k393_solfeggi_n2,mozart,66
71,66.90140845070422,10.245101790237271,38,3.380952380952381,14.571428571428571,0.2571428571428571,22,39,61.87179487179487,11.259593031720716,32,1.95,13.368421052631579,0.2631578947368421,21,36,64.30555555555556,8.669292693321013,32,1.7142857142857142,16.057142857142857,0.0,13,68,65.91176470588235,10.602074289437626,38,3.238095238095238,15.223880597014926,0.22388059701492538,22,-1.2000000000000086,-0.053517055070505255,-0.1519382840798655,-5.6970160197328794e-15,-0.06642857142857188,0.46460778812703263,-0.036294467512063784,-0.8000000000000045,mozart-the_chelsea_notebook-early_pieces_n11_country_dance,mozart,66
1023,65.34115347018573,11.77567855845795,52,6.4373361300471945,10.764187866927593,0.23385518590998042,39,1022,65.4041095890411,11.675911557742843,52,6.4209424083769635,9.53281096963761,0.31341821743388837,46,1039,65.29740134744947,11.835295046551236,52,6.5655608214849925,9.720616570327554,0.2909441233140655,45,1073,66.49487418452935,11.450213223311039,52,6.716744913928013,9.853544776119403,0.29197761194029853,43,16.699999999999932,0.33544539014391406,-0.0817012516632361,-7.59602135964384e-15,0.09828447647504752,-0.2544123671734641,0.0151893183971131,1.099999999999996,mozart-piano_sonatas-nueva_carpeta-k281_piano_sonata_n03_1mov,mozart,57
81,68.17283950617283,12.794472305133741,48,2.189189189189189,14.7875,0.1125,20,91,66.85714285714286,11.036972260176228,46,2.4594594594594597,13.677777777777777,0.07777777777777778,29,91,66.47252747252747,11.589442580476781,48,2.4594594594594597,14.355555555555556,0.07777777777777778,30,81,68.60493827160494,12.172301092442567,48,2.189189189189189,14.1,0.1125,20,-1.519204271928768e-14,0.09116809116807643,-0.13140433177730032,0.19999999999999446,-3.5606350123330496e-16,-0.13847222222222466,-1.4835979218054374e-17,0.09999999999999629,mozart-the_chelsea_notebook-early_pieces_n7_country_dance,mozart,66
244,62.057377049180324,11.674758522674116,50,3.2751677852348995,12.106995884773662,0.1646090534979424,34,293,62.21160409556314,11.516849289775228,53,3.9594594594594597,12.801369863013699,0.08561643835616438,37,337,61.881305637982194,9.297785739642242,44,4.523489932885906,10.452380952380953,0.16666666666666666,27,265,62.18490566037736,11.399427265096792,50,3.557046979865772,12.375,0.12878787878787878,34,10.69999999999996,0.0052287376010064284,-0.3045057322864987,-0.9000000000000073,0.14096680573190576,-0.15449765649537422,-0.0026413295819688676,-1.0000000000000047,mozart-another_piece_for_piano_k176,mozart,64
485,67.04329896907217,8.63511062514868,40,4.4907407407407405,8.611570247933884,0.4772727272727273,35,382,65.82722513089006,10.178073761464823,40,3.52073732718894,9.259842519685039,0.5433070866141733,29,452,66.51769911504425,9.429155782821965,40,4.254117647058823,9.811529933481154,0.43237250554323725,33,379,63.9155672823219,10.672295175303091,40,3.542056074766355,10.23015873015873,0.48148148148148145,38,-24.800000000000075,-0.8692721076096734,0.5362635671820368,-1.89900533991096e-15,-0.21126736780532815,0.5407452860470648,-0.009830831844467446,1.2999999999999945,mozart-k393_solfeggi_n1,mozart,66
93,64.93548387096774,11.89633218221166,36,2.90625,14.804347826086957,0.2608695652173913,18,93,64.90322580645162,11.935367625124115,36,2.90625,15.043478260869565,0.2608695652173913,18,97,61.92783505154639,12.56344511051634,41,2.9393939393939394,14.072916666666666,0.020833333333333332,21,95,62.16842105263158,12.582069641131925,41,2.96875,14.25531914893617,0.02127659574468085,20,0.9999999999999951,-1.127657920991381,0.26852898621529986,1.999999999999994,0.022064393939393422,-0.261764762565529,-0.09588151403021894,0.8999999999999988,mozart-contradance_n2,mozart,66
371,68.544474393531,10.386080277840819,45,5.152777777777778,9.616216216216216,0.4891891891891892,29,309,66.38511326860842,11.438759341748229,43,4.414285714285715,11.704545454545455,0.37337662337662336,34,351,68.51851851851852,10.431929622077138,45,4.858131487889273,9.90857142857143,0.5,29,350,67.93714285714286,11.744252958405673,45,4.964539007092198,11.349570200573066,0.4040114613180516,31,-2.100000000000073,0.03114106407455668,0.30676883220234497,0.19999999999999066,-0.012087053845318791,0.34040879270965174,-0.012890980699003664,0.09999999999999439,mozart-k393_solfeggi_n5,mozart,66
1985,64.82670025188916,12.346883572300115,58,6.740237691001698,12.197076612903226,0.18699596774193547,48,1662,65.70336943441636,11.45085142135148,55,5.64027149321267,11.397953040337146,0.1468994581577363,48,2053,64.90501704822212,12.405011288896278,59,6.971137521222411,12.242690058479532,0.1817738791423002,51,1607,65.58680771624144,11.640797950663838,60,5.447457627118644,12.682440846824408,0.11892901618929017,49,-74.30000000000068,0.14819700068624986,-0.11640969973640433,0.9999999999999951,-0.25474741636394305,0.23008297199059147,-0.016932643367337238,0.599999999999991,mozart-piano_concertos-piano_concerto_n6_k238_3mov,mozart,57
1150,63.10782608695652,13.909728518127704,53,11.586901763224182,13.84160139251523,0.14360313315926893,37,1314,62.916286149162865,13.178807519576942,56,13.272727272727273,12.163747143945164,0.1706016755521706,48,2112,60.854166666666664,12.602892497579893,55,21.279596977329973,9.512079583135954,0.17811463761250593,52,1082,62.314232902033275,13.845101658650359,60,10.660098522167488,13.26086956521739,0.12950971322849214,47,59.39999999999988,-0.444289903726605,-0.07697956004291068,1.9999999999999978,0.5226459981432602,-0.43938630427027453,-0.0034767297731995222,3.3999999999999915,mozart-k525_serenade_2mov_eine_kleine_natchmusik,mozart,61
1458,62.231824417009605,11.073257846392012,56,20.535211267605632,10.57789979409746,0.19423472889498972,50,1342,61.69746646795827,11.458054501322811,60,18.945882352941172,10.189410887397464,0.20507084265473527,52,1193,60.65884325230511,9.737895712715618,52,17.24819277108434,7.901006711409396,0.3313758389261745,50,1599,63.49343339587242,13.559441809880399,59,23.258181818181818,12.091989987484355,0.2227784730913642,48,27.399999999999732,0.2746203720935257,0.5738393101857956,0.09999999999999154,0.6471222069871713,0.2253866404172595,0.02119362288605624,-0.8000000000000064,mozart-k626_requiem_04_dies_irae,mozart,63
