total_notes,duration,pitch_range,pitch_mean,pitch_std,pitch_class_entropy,interval_mean,stepwise_ratio,leap_ratio,unique_durations,duration_std,note_density,contour_change_rate,repetition_ratio,chord_change_rate,chord_change_std,avg_chord_size,avg_vertical_range,chord_pc_entropy,tonic_dominant_ratio,cadence_rate,key_change_rate,modulation_mean,sectional_repetition_ratio,sectional_similarity_mean,piece_id,composer,title,popularity
616,324.0,40,63.93181818181818,9.686394478321262,0.7318933075824509,4.324104234527687,0.3534201954397394,0.36482084690553745,6,0.48977777838459086,1.9012345679012346,0.6444805194805194,0.9090909090909091,1.4259259259259258,101.14024915927388,2.9953703703703702,19.00925925925926,0.04249542280193104,0.5442764578833693,0.08441558441558442,0.0,0.0,1.0,0.9859328941985839,mozart-contradance_n3,mozart,contradance n3,57
1513,192.0,57,60.80832782551223,11.369003596215732,0.9050719288882861,3.597194388777555,0.5197060788243153,0.33132932531730125,8,0.7886230594097582,7.880208333333333,0.44745538664904166,0.12690763052208837,1.7708333333333333,37.96709101313926,3.0,40.0,0.0,0.39002932551319647,0.03823529411764706,0.782608695652174,2.9130434782608696,0.75,0.9066550838006642,mozart-k626_requiem_07_lacrimosa,mozart,k626 requiem 07 lacrimosa,66
1198,5041/12,43,61.51168614357262,9.063838217687694,0.9355333022924966,4.412207357859532,0.5275919732441472,0.3637123745819398,21,0.6765372893651874,14376/5041,0.5884808013355592,0.017902813299232736,2.3352509422733587,70.3400484833137,2.9978178932751436,30.935727038286057,0.023962092057935966,0.3564154786150713,0.03160040774719674,0.9444444444444444,3.5,0.9473684210526315,0.9434669373733657,mozart-k401_fuga_in_g_minor_,mozart,k401 fuga in g minor,59
310,122.0,32,65.01290322580645,7.344493211976321,0.8479223290688434,2.457792207792208,0.6525974025974026,0.17207792207792208,5,0.1935179059390522,2.540983606557377,0.7096774193548387,0.9416666666666667,1.3934426229508197,45.45022787935957,1.9918032786885247,20.875,0.04539244585190246,0.27485380116959063,0.0058823529411764705,0.5555555555555556,2.7777777777777777,1.0,0.9679193982041253,mozart-k03_allegro_in_bb,mozart,k03 allegro in bb,62
3957,18323/6,55,65.4020722769775,11.887228183414432,0.8261160780569976,8.63700707785642,0.34277047522750254,0.563953488372093,76,0.8071156177609907,23742/18323,0.48395248925954004,0.16412971542025148,3.1606178027615566,597.1390263538901,1.000764067019593,0.012661682038967417,0.004163024317996731,0.3774992230394696,0.04061334438458351,0.5245901639344263,2.3442622950819674,0.967741935483871,0.9608966208515884,mozart-piano_sonatas-nueva_carpeta-k284_piano_sonata_n06_,mozart,piano sonatas-nueva carpeta-k284 piano sonata n06,57
344,267.0,45,64.34883720930233,11.317591190889186,0.8087130059612365,3.818713450292398,0.4298245614035088,0.2719298245614035,6,0.5094869188401056,1.2883895131086143,0.6569767441860465,0.9343065693430657,0.9662921348314607,66.03894403781476,1.997191011235955,16.01186017478152,0.03147915078981347,0.41312741312741313,0.050387596899224806,0.7777777777777778,2.888888888888889,1.0,0.9749811331691816,mozart-the_chelsea_notebook-early_pieces_n4_minuet,mozart,the chelsea notebook-early pieces n4 minuet,59
1491,667.0,60,62.95640509725017,12.27312681565303,0.881084273901798,4.134989926124916,0.4539959704499664,0.31564808596373406,11,0.3428940714272129,2.235382308845577,0.5674044265593562,0.1791044776119403,2.340329835082459,132.61876813647848,3.989005497251374,23.950274862568715,0.016272740637085215,0.470550576184379,0.06342088404868675,0.5454545454545454,2.6363636363636362,0.9565217391304348,0.9334336291585126,mozart-k398_piano_variations_salve_tu_domine,mozart,k398 piano variations salve tu domine,73
809,7697/12,56,66.45982694684795,12.27364077569519,0.9358296695239519,6.889851485148514,0.3131188118811881,0.4715346534653465,51,0.8844130005886509,9708/7697,0.4969097651421508,0.08333333333333333,2.2309990905547616,86.55786396203142,1.0102637391191374,0.1110822398337015,0.020810900437883032,0.38268156424581007,0.03773584905660377,0.5833333333333334,1.8333333333333333,0.9230769230769231,0.9120818247027705,mozart-fantasia_in_d_k397,mozart,fantasia in d k397,62
10188,952.0,55,62.42206517471535,12.539338784564794,0.8687831289530934,2.262723521320495,0.6844173707997642,0.16604440951070937,11,0.34418489747155395,10.701680672268907,0.5794071456615626,0.6523403002649396,2.1313025210084033,211.9910237534759,1.0045518207282913,12.027573529411764,0.013816007738764088,0.4630541871921182,0.05963528831936915,0.4240506329113924,1.759493670886076,0.9622641509433962,0.964606667721578,mozart-k525_serenade_4mov_eine_kleine_natchmusik,mozart,k525 serenade 4mov eine kleine natchmusik,61
774,306.0,50,64.07105943152455,10.676659732413572,0.8891782004912323,4.27979274611399,0.48575129533678757,0.3069948186528497,9,0.20790402452892687,2.5294117647058822,0.537467700258398,0.4735632183908046,3.4444444444444446,63.20595548300795,2.994281045751634,9.077342047930284,0.026144105751673925,0.35450236966824644,0.03510436432637571,0.8181818181818182,2.909090909090909,1.0,0.9453314607155376,mozart-piano_sonatas-nueva_carpeta-k279_piano_sonata_n01_2mov,mozart,piano sonatas-nueva carpeta-k279 piano sonata n01 2mov,57
1591,127.0,58,61.25455688246386,11.97118932587111,0.844988347007793,3.501585288522511,0.6195307545973368,0.25237793278376663,7,0.4667859771594877,12.527559055118111,0.46511627906976744,0.11127063890882986,2.338582677165354,30.75,3.031496062992126,39.81692913385827,0.08183359084357761,0.4966442953020134,0.08754208754208755,0.625,2.5833333333333335,0.84,0.9176541855415905,mozart-k626_requiem_10_sanctus,mozart,k626 requiem 10 sanctus,64
3438,393.0,57,61.109947643979055,11.414129437958445,0.9130318210871913,2.27007299270073,0.7830656934306569,0.14861313868613138,12,0.48373369624300394,8.748091603053435,0.5607911576497964,0.17203539823008848,2.3155216284987277,104.24218215138505,3.002332485156913,31.016327396098387,0.024406792660217346,0.35236004390779363,0.035164835164835165,0.5849056603773585,2.339622641509434,0.9814814814814815,0.9419103173857672,mozart-k626_requiem_05_recordare,mozart,k626 requiem 05 recordare,64
7639,877.0,61,66.45385521665139,12.384694601707734,0.8551097590829949,3.1492263309729873,0.5444531864673485,0.24298452661945974,12,0.3204783955522762,8.710376282782212,0.48265479774839637,0.2801797945205479,3.088939566704675,206.02459955285687,2.0034207525655643,2.0762067654884073,0.01078541477212001,0.45535055350553505,0.09191583610188261,0.5508474576271186,2.406779661016949,0.9831932773109243,0.9604115276298111,mozart-piano_concertos-piano_concerto_n16_k451_3mov,mozart,piano concertos-piano concerto n16 k451 3mov,57
3436,291.0,57,62.32625145518044,10.228755768716603,0.8470691799092177,2.939199064600994,0.575270388775212,0.20374159602455422,13,0.4415459790265008,11.807560137457045,0.5619906868451688,0.104736490993996,2.5257731958762886,55.253567584086646,3.009450171821306,15.231099656357388,0.035282548905193764,0.4633152173913043,0.05442176870748299,0.5849056603773585,2.490566037735849,0.9629629629629629,0.943276729581126,mozart-k626_requiem_11_benedictus,mozart,k626 requiem 11 benedictus,64
4070,1096.5,60,66.05429975429975,10.329387193923491,0.9258502950998035,3.021156211562116,0.5722017220172202,0.184009840098401,15,0.34236554548455006,3.711810305517556,0.6098280098280098,0.3578988631909055,2.8700410396716824,218.69236769904617,2.001139990880073,17.988752089983283,0.00883204728794498,0.3646759847522236,0.0521131236097871,0.4444444444444444,1.5873015873015872,0.984375,0.9660202354098405,mozart-piano_sonatas-piano_sonata_n02_k280,mozart,piano sonatas-piano sonata n02 k280,66
3381,1265.0,47,70.77491866311742,9.13902667740095,0.9247396865776372,3.2287659070730985,0.5673276117194436,0.21751997632435632,18,0.6139992961987774,2.672727272727273,0.5903578822833481,0.2819015846538782,2.665612648221344,204.25212656793397,2.9960474308300395,20.955599472990777,0.012744238174010138,0.3350133412392529,0.037069988137603795,0.5961538461538461,2.4615384615384617,0.9433962264150944,0.9507509745108632,mozart-piano_sonatas-piano_sonata_n19_k576,mozart,piano sonatas-piano sonata n19 k576,66
4227,1336.5,55,68.50839839129407,9.214543997052587,0.8999099441370159,2.6231643770724773,0.6627190904784462,0.15442918048318333,18,0.4062048356197404,3.1627384960718294,0.6158031700969955,0.34158050221565733,2.900860456416012,225.24272862785136,2.0001247038284076,6.020389075944632,0.00896532727464316,0.33135636926250644,0.031209698220273408,0.5384615384615384,2.123076923076923,1.0,0.9565166445780494,mozart-piano_sonatas-piano_sonata_n03_k281,mozart,piano sonatas-piano sonata n03 k281,66
